R,C,A,B,C,D,x,y,Readings
1,6,0,0,0,0,0,0,14
1,6,0,0,0,0,0,0,15
1,6,0,0,0,0,0,0,16
1,6,0,0,0,0,0,0,17
1,6,0,0,0,0,0,0,18
1,6,0,0,0,0,0,0,19
1,6,0,0,0,0,0,0,20
1,7,0,0,0,0,0,0,1
1,7,0,0,0,0,0,0,2
1,7,0,0,0,0,0,0,3
1,7,0,0,0,0,0,0,4
1,7,0,0,0,0,0,0,5
1,7,0,0,0,0,0,0,6
1,7,0,0,0,0,0,0,7
1,7,0,0,0,0,0,0,8
1,7,0,0,0,0,0,0,9
1,7,0,0,0,0,0,0,10
1,7,0,0,0,0,0,0,11
1,7,0,0,0,0,0,0,12
1,7,0,0,0,0,0,0,13
1,7,0,0,0,0,0,0,14
1,7,0,0,0,0,0,0,15
1,7,0,0,0,0,0,0,16
1,7,0,0,0,0,0,0,17
1,7,0,0,0,0,0,0,18
1,7,0,0,0,0,0,0,19
1,7,0,0,0,0,0,0,20
1,8,0,0,0,0,0,0,1
1,8,0,0,0,0,0,0,2
1,8,0,0,0,0,0,0,3
1,8,0,0,0,0,0,0,4
1,8,0,0,0,0,0,0,5
1,8,0,0,0,0,0,0,6
1,8,0,0,0,0,0,0,7
1,8,0,0,0,0,0,0,8
1,8,0,0,0,0,0,0,9
1,8,0,0,0,0,0,0,10
1,8,0,0,0,0,0,0,11
1,8,0,0,0,0,0,0,12
1,8,0,0,0,0,0,0,13
1,8,0,0,0,0,0,0,14
1,8,0,0,0,0,0,0,15
1,8,0,0,0,0,0,0,16
1,8,0,0,0,0,0,0,17
1,8,0,0,0,0,0,0,18
1,8,0,0,0,0,0,0,19
1,8,0,0,0,0,0,0,20
1,9,0,0,0,0,0,0,1
1,9,0,0,0,0,0,0,2
1,9,0,0,0,0,0,0,3
1,9,0,0,0,0,0,0,4
1,9,0,0,0,0,0,0,5
1,9,0,0,0,0,0,0,6
1,9,0,0,0,0,0,0,7
1,9,0,0,0,0,0,0,8
1,9,0,0,0,0,0,0,9
1,9,0,0,0,0,0,0,10
1,9,0,0,0,0,0,0,11
1,9,0,0,0,0,0,0,12
1,9,0,0,0,0,0,0,13
1,9,0,0,0,0,0,0,14
1,9,0,0,0,0,0,0,15
1,9,0,0,0,0,0,0,16
1,9,0,0,0,0,0,0,17
1,9,0,0,0,0,0,0,18
1,9,0,0,0,0,0,0,19
1,9,0,0,0,0,0,0,20
1,10,0,0,0,0,0,0,1
1,10,0,0,0,0,0,0,2
1,10,0,0,0,0,0,0,3
1,10,0,0,0,0,0,0,4
1,10,0,0,0,0,0,0,5
1,10,0,0,0,0,0,0,6
1,10,0,0,0,0,0,0,7
1,10,0,0,0,0,0,0,8
1,10,0,0,0,0,0,0,9
1,10,0,0,0,0,0,0,10
1,10,0,0,0,0,0,0,11
1,10,0,0,0,0,0,0,12
1,10,0,0,0,0,0,0,13
1,10,0,0,0,0,0,0,14
1,10,0,0,0,0,0,0,15
1,10,0,0,0,0,0,0,16
1,10,0,0,0,0,0,0,17
1,10,0,0,0,0,0,0,18
1,10,0,0,0,0,0,0,19
1,10,0,0,0,0,0,0,20
1,11,0,0,0,0,0,0,1
1,11,0,0,0,0,0,0,2
1,11,0,0,0,0,0,0,3
1,11,0,0,0,0,0,0,4
1,11,0,0,0,0,0,0,5
1,11,0,0,0,0,0,0,6
1,11,0,0,0,0,0,0,7
1,11,0,0,0,0,0,0,8
1,11,0,0,0,0,0,0,9
1,11,0,0,0,0,0,0,10
1,11,0,0,0,0,0,0,11
1,11,0,0,0,0,0,0,12
1,11,0,0,0,0,0,0,13
1,11,0,0,0,0,0,0,14
1,11,0,0,0,0,0,0,15
1,11,0,0,0,0,0,0,16
1,11,0,0,0,0,0,0,17
1,11,0,0,0,0,0,0,18
1,11,0,0,0,0,0,0,19
1,11,0,0,0,0,0,0,20
1,12,0,0,0,0,0,0,1
1,12,0,0,0,0,0,0,2
1,12,0,0,0,0,0,0,3
1,12,0,0,0,0,0,0,4
1,12,0,0,0,0,0,0,5
1,12,0,0,0,0,0,0,6
1,12,0,0,0,0,0,0,7
1,12,0,0,0,0,0,0,8
1,12,0,0,0,0,0,0,9
1,12,0,0,0,0,0,0,10
1,12,0,0,0,0,0,0,11
1,12,0,0,0,0,0,0,12
1,12,0,0,0,0,0,0,13
1,12,0,0,0,0,0,0,14
1,12,0,0,0,0,0,0,15
1,12,0,0,0,0,0,0,16
1,12,0,0,0,0,0,0,17
1,12,0,0,0,0,0,0,18
1,12,0,0,0,0,0,0,19
1,12,0,0,0,0,0,0,20
1,13,0,0,0,0,0,0,1
1,13,0,0,0,0,0,0,2
1,13,0,0,0,0,0,0,3
1,13,0,0,0,0,0,0,4
1,13,0,0,0,0,0,0,5
1,13,0,0,0,0,0,0,6
1,13,0,0,0,0,0,0,7
1,13,0,0,0,0,0,0,8
1,13,0,0,0,0,0,0,9
1,13,0,0,0,0,0,0,10
1,13,0,0,0,0,0,0,11
1,13,0,0,0,0,0,0,12
1,13,0,0,0,0,0,0,13
1,13,0,0,0,0,0,0,14
1,13,0,0,0,0,0,0,15
1,13,0,0,0,0,0,0,16
1,13,0,0,0,0,0,0,17
1,13,0,0,0,0,0,0,18
1,13,0,0,0,0,0,0,19
1,13,0,0,0,0,0,0,20
1,14,0,0,0,0,0,0,1
1,14,0,0,0,0,0,0,2
1,14,0,0,0,0,0,0,3
1,14,0,0,0,0,0,0,4
1,14,0,0,0,0,0,0,5
1,14,0,0,0,0,0,0,6
1,14,0,0,0,0,0,0,7
1,14,0,0,0,0,0,0,8
1,14,0,0,0,0,0,0,9
1,14,0,0,0,0,0,0,10
1,14,0,0,0,0,0,0,11
1,14,0,0,0,0,0,0,12
1,14,0,0,0,0,0,0,13
1,14,0,0,0,0,0,0,14
1,14,0,0,0,0,0,0,15
1,14,0,0,0,0,0,0,16
1,14,0,0,0,0,0,0,17
1,14,0,0,0,0,0,0,18
1,14,0,0,0,0,0,0,19
1,14,0,0,0,0,0,0,20
1,15,0,0,0,0,0,0,1
1,15,0,0,0,0,0,0,2
1,15,0,0,0,0,0,0,3
1,15,0,0,0,0,0,0,4
1,15,0,0,0,0,0,0,5
1,15,0,0,0,0,0,0,6
1,15,0,0,0,0,0,0,7
1,15,0,0,0,0,0,0,8
1,15,0,0,0,0,0,0,9
1,15,0,0,0,0,0,0,10
1,15,0,0,0,0,0,0,11
1,15,0,0,0,0,0,0,12
1,15,0,0,0,0,0,0,13
1,15,0,0,0,0,0,0,14
1,15,0,0,0,0,0,0,15
1,15,0,0,0,0,0,0,16
1,15,0,0,0,0,0,0,17
1,15,0,0,0,0,0,0,18
1,15,0,0,0,0,0,0,19
1,15,0,0,0,0,0,0,20
1,16,0,0,0,0,0,0,1
1,16,0,0,0,0,0,0,2
1,16,0,0,0,0,0,0,3
1,16,0,0,0,0,0,0,4
1,16,0,0,0,0,0,0,5
1,16,0,0,0,0,0,0,6
1,16,0,0,0,0,0,0,7
1,16,0,0,0,0,0,0,8
1,16,0,0,0,0,0,0,9
1,16,0,0,0,0,0,0,10
1,16,0,0,0,0,0,0,11
1,16,0,0,0,0,0,0,12
1,16,0,0,0,0,0,0,13
1,16,0,0,0,0,0,0,14
1,16,0,0,0,0,0,0,15
1,16,0,0,0,0,0,0,16
1,16,0,0,0,0,0,0,17
1,16,0,0,0,0,0,0,18
1,16,0,0,0,0,0,0,19
1,16,0,0,0,0,0,0,20
1,17,0,0,0,0,0,0,1
1,17,0,0,0,0,0,0,2
1,17,0,0,0,0,0,0,3
1,17,0,0,0,0,0,0,4
1,17,0,0,0,0,0,0,5
1,17,0,0,0,0,0,0,6
1,17,0,0,0,0,0,0,7
1,17,0,0,0,0,0,0,8
1,17,0,0,0,0,0,0,9
1,17,0,0,0,0,0,0,10
1,17,0,0,0,0,0,0,11
1,17,0,0,0,0,0,0,12
1,17,0,0,0,0,0,0,13
1,17,0,0,0,0,0,0,14
1,17,0,0,0,0,0,0,15
1,17,0,0,0,0,0,0,16
1,17,0,0,0,0,0,0,17
1,17,0,0,0,0,0,0,18
1,17,0,0,0,0,0,0,19
1,17,0,0,0,0,0,0,20
1,18,0,0,0,0,0,0,1
1,18,0,0,0,0,0,0,2
1,18,0,0,0,0,0,0,3
1,18,0,0,0,0,0,0,4
1,18,0,0,0,0,0,0,5
1,18,0,0,0,0,0,0,6
1,18,0,0,0,0,0,0,7
1,18,0,0,0,0,0,0,8
1,18,0,0,0,0,0,0,9
1,18,0,0,0,0,0,0,10
1,18,0,0,0,0,0,0,11
1,18,0,0,0,0,0,0,12
1,18,0,0,0,0,0,0,13
1,18,0,0,0,0,0,0,14
1,18,0,0,0,0,0,0,15
1,18,0,0,0,0,0,0,16
1,18,0,0,0,0,0,0,17
1,18,0,0,0,0,0,0,18
1,18,0,0,0,0,0,0,19
1,18,0,0,0,0,0,0,20
1,19,0,0,0,0,0,0,1
1,19,0,0,0,0,0,0,2
1,19,0,0,0,0,0,0,3
1,19,0,0,0,0,0,0,4
1,19,0,0,0,0,0,0,5
1,19,0,0,0,0,0,0,6
1,19,0,0,0,0,0,0,7
1,19,0,0,0,0,0,0,8
1,19,0,0,0,0,0,0,9
1,19,0,0,0,0,0,0,10
1,19,0,0,0,0,0,0,11
1,19,0,0,0,0,0,0,12
1,19,0,0,0,0,0,0,13
1,19,0,0,0,0,0,0,14
1,19,0,0,0,0,0,0,15
1,19,0,0,0,0,0,0,16
1,19,0,0,0,0,0,0,17
1,19,0,0,0,0,0,0,18
1,19,0,0,0,0,0,0,19
1,19,0,0,0,0,0,0,20
1,20,0,0,0,0,0,0,1
1,20,0,0,0,0,0,0,2
1,20,0,0,0,0,0,0,3
1,20,0,0,0,0,0,0,4
1,20,0,0,0,0,0,0,5
1,20,0,0,0,0,0,0,6
1,20,0,0,0,0,0,0,7
1,20,0,0,0,0,0,0,8
1,20,0,0,0,0,0,0,9
1,20,0,0,0,0,0,0,10
1,20,0,0,0,0,0,0,11
1,20,0,0,0,0,0,0,12
1,20,0,0,0,0,0,0,13
1,20,0,0,0,0,0,0,14
1,20,0,0,0,0,0,0,15
1,20,0,0,0,0,0,0,16
1,20,0,0,0,0,0,0,17
1,20,0,0,0,0,0,0,18
1,20,0,0,0,0,0,0,19
1,20,0,0,0,0,0,0,20
2,1,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,3
2,1,0,0,0,0,0,0,4
2,1,0,0,0,0,0,0,5
2,1,0,0,0,0,0,0,6
2,1,0,0,0,0,0,0,7
2,1,0,0,0,0,0,0,8
2,1,0,0,0,0,0,0,9
2,1,0,0,0,0,0,0,10
2,1,0,0,0,0,0,0,11
2,1,0,0,0,0,0,0,12
2,1,0,0,0,0,0,0,13
2,1,0,0,0,0,0,0,14
2,1,0,0,0,0,0,0,15
2,1,0,0,0,0,0,0,16
2,1,0,0,0,0,0,0,17
2,1,0,0,0,0,0,0,18
2,1,0,0,0,0,0,0,19
2,1,0,0,0,0,0,0,20
2,2,0,0,0,0,0,0,1
2,2,0,0,0,0,0,0,2
2,2,0,0,0,0,0,0,3
2,2,0,0,0,0,0,0,4
2,2,0,0,0,0,0,0,5
2,2,0,0,0,0,0,0,6
2,2,0,0,0,0,0,0,7
2,2,0,0,0,0,0,0,8
2,2,0,0,0,0,0,0,9
2,2,0,0,0,0,0,0,10
2,2,0,0,0,0,0,0,11
2,2,0,0,0,0,0,0,12
2,2,0,0,0,0,0,0,13
2,2,0,0,0,0,0,0,14
2,2,0,0,0,0,0,0,15
2,2,0,0,0,0,0,0,16
2,2,0,0,0,0,0,0,17
2,2,0,0,0,0,0,0,18
2,2,0,0,0,0,0,0,19
2,2,0,0,0,0,0,0,20
2,3,0,0,0,0,0,0,1
2,3,0,0,0,0,0,0,2
2,3,0,0,0,0,0,0,3
2,3,0,0,0,0,0,0,4
2,3,0,0,0,0,0,0,5
2,3,0,0,0,0,0,0,6
2,3,0,0,0,0,0,0,7
2,3,0,0,0,0,0,0,8
2,3,0,0,0,0,0,0,9
2,3,0,0,0,0,0,0,10
2,3,0,0,0,0,0,0,11
2,3,0,0,0,0,0,0,12
2,3,0,0,0,0,0,0,13
2,3,0,0,0,0,0,0,14
2,3,0,0,0,0,0,0,15
2,3,0,0,0,0,0,0,16
2,3,0,0,0,0,0,0,17
2,3,0,0,0,0,0,0,18
2,3,0,0,0,0,0,0,19
2,3,0,0,0,0,0,0,20
2,4,0,0,0,0,0,0,1
2,4,0,0,0,0,0,0,2
2,4,0,0,0,0,0,0,3
2,4,0,0,0,0,0,0,4
2,4,0,0,0,0,0,0,5
2,4,0,0,0,0,0,0,6
2,4,0,0,0,0,0,0,7
2,4,0,0,0,0,0,0,8
2,4,0,0,0,0,0,0,9
2,4,0,0,0,0,0,0,10
2,4,0,0,0,0,0,0,11
2,4,0,0,0,0,0,0,12
2,4,0,0,0,0,0,0,13
2,4,0,0,0,0,0,0,14
2,4,0,0,0,0,0,0,15
2,4,0,0,0,0,0,0,16
2,4,0,0,0,0,0,0,17
2,4,0,0,0,0,0,0,18
2,4,0,0,0,0,0,0,19
2,4,0,0,0,0,0,0,20
2,5,0,0,0,0,0,0,1
2,5,0,0,0,0,0,0,2
2,5,0,0,0,0,0,0,3
2,5,0,0,0,0,0,0,4
2,5,0,0,0,0,0,0,5
2,5,0,0,0,0,0,0,6
2,5,0,0,0,0,0,0,7
2,5,0,0,0,0,0,0,8
2,5,0,0,0,0,0,0,9
2,5,0,0,0,0,0,0,10
2,5,0,0,0,0,0,0,11
2,5,0,0,0,0,0,0,12
2,5,0,0,0,0,0,0,13
2,5,0,0,0,0,0,0,14
2,5,0,0,0,0,0,0,15
2,5,0,0,0,0,0,0,16
2,5,0,0,0,0,0,0,17
2,5,0,0,0,0,0,0,18
2,5,0,0,0,0,0,0,19
2,5,0,0,0,0,0,0,20
2,6,0,0,0,0,0,0,1
2,6,0,0,0,0,0,0,2
2,6,0,0,0,0,0,0,3
2,6,0,0,0,0,0,0,4
2,6,0,0,0,0,0,0,5
2,6,0,0,0,0,0,0,6
2,6,0,0,0,0,0,0,7
2,6,0,0,0,0,0,0,8
2,6,0,0,0,0,0,0,9
2,6,0,0,0,0,0,0,10
2,6,0,0,0,0,0,0,11
2,6,0,0,0,0,0,0,12
2,6,0,0,0,0,0,0,13
2,6,0,0,0,0,0,0,14
2,6,0,0,0,0,0,0,15
2,6,0,0,0,0,0,0,16
2,6,0,0,0,0,0,0,17
2,6,0,0,0,0,0,0,18
2,6,0,0,0,0,0,0,19
2,6,0,0,0,0,0,0,20
2,7,0,0,0,0,0,0,1
2,7,0,0,0,0,0,0,2
2,7,0,0,0,0,0,0,3
2,7,0,0,0,0,0,0,4
2,7,0,0,0,0,0,0,5
2,7,0,0,0,0,0,0,6
2,7,0,0,0,0,0,0,7
2,7,0,0,0,0,0,0,8
2,7,0,0,0,0,0,0,9
2,7,0,0,0,0,0,0,10
2,7,0,0,0,0,0,0,11
2,7,0,0,0,0,0,0,12
2,7,0,0,0,0,0,0,13
2,7,0,0,0,0,0,0,14
2,7,0,0,0,0,0,0,15
2,7,0,0,0,0,0,0,16
2,7,0,0,0,0,0,0,17
2,7,0,0,0,0,0,0,18
2,7,0,0,0,0,0,0,19
2,7,0,0,0,0,0,0,20
2,8,0,0,0,0,0,0,1
2,8,0,0,0,0,0,0,2
2,8,0,0,0,0,0,0,3
2,8,0,0,0,0,0,0,4
2,8,0,0,0,0,0,0,5
2,8,0,0,0,0,0,0,6
2,8,0,0,0,0,0,0,7
2,8,0,0,0,0,0,0,8
2,8,0,0,0,0,0,0,9
2,8,0,0,0,0,0,0,10
2,8,0,0,0,0,0,0,11
2,8,0,0,0,0,0,0,12
2,8,0,0,0,0,0,0,13
2,8,0,0,0,0,0,0,14
2,8,0,0,0,0,0,0,15
2,8,0,0,0,0,0,0,16
2,8,0,0,0,0,0,0,17
2,8,0,0,0,0,0,0,18
2,8,0,0,0,0,0,0,19
2,8,0,0,0,0,0,0,20
2,9,0,0,0,0,0,0,1
2,9,0,0,0,0,0,0,2
2,9,0,0,0,0,0,0,3
2,9,0,0,0,0,0,0,4
2,9,0,0,0,0,0,0,5
2,9,0,0,0,0,0,0,6
2,9,0,0,0,0,0,0,7
2,9,0,0,0,0,0,0,8
2,9,0,0,0,0,0,0,9
2,9,0,0,0,0,0,0,10
2,9,0,0,0,0,0,0,11
2,9,0,0,0,0,0,0,12
2,9,0,0,0,0,0,0,13
2,9,0,0,0,0,0,0,14
2,9,0,0,0,0,0,0,15
2,9,0,0,0,0,0,0,16
2,9,0,0,0,0,0,0,17
2,9,0,0,0,0,0,0,18
2,9,0,0,0,0,0,0,19
2,9,0,0,0,0,0,0,20
2,10,0,0,0,0,0,0,1
2,10,0,0,0,0,0,0,2
2,10,0,0,0,0,0,0,3
2,10,0,0,0,0,0,0,4
2,10,0,0,0,0,0,0,5
2,10,0,0,0,0,0,0,6
2,10,0,0,0,0,0,0,7
2,10,0,0,0,0,0,0,8
2,10,0,0,0,0,0,0,9
2,10,0,0,0,0,0,0,10
2,10,0,0,0,0,0,0,11
2,10,0,0,0,0,0,0,12
2,10,0,0,0,0,0,0,13
2,10,0,0,0,0,0,0,14
2,10,0,0,0,0,0,0,15
2,10,0,0,0,0,0,0,16
2,10,0,0,0,0,0,0,17
2,10,0,0,0,0,0,0,18
2,10,0,0,0,0,0,0,19
2,10,0,0,0,0,0,0,20
2,11,0,0,0,0,0,0,1
2,11,0,0,0,0,0,0,2
2,11,0,0,0,0,0,0,3
2,11,0,0,0,0,0,0,4
2,11,0,0,0,0,0,0,5
2,11,0,0,0,0,0,0,6
2,11,0,0,0,0,0,0,7
2,11,0,0,0,0,0,0,8
2,11,0,0,0,0,0,0,9
2,11,0,0,0,0,0,0,10
2,11,0,0,0,0,0,0,11
2,11,0,0,0,0,0,0,12
2,11,0,0,0,0,0,0,13
2,11,0,0,0,0,0,0,14
2,11,0,0,0,0,0,0,15
2,11,0,0,0,0,0,0,16
2,11,0,0,0,0,0,0,17
2,11,0,0,0,0,0,0,18
2,11,0,0,0,0,0,0,19
2,11,0,0,0,0,0,0,20
2,12,0,0,0,0,0,0,1
2,12,0,0,0,0,0,0,2
2,12,0,0,0,0,0,0,3
2,12,0,0,0,0,0,0,4
2,12,0,0,0,0,0,0,5
2,12,0,0,0,0,0,0,6
2,12,0,0,0,0,0,0,7
2,12,0,0,0,0,0,0,8
2,12,0,0,0,0,0,0,9
2,12,0,0,0,0,0,0,10
2,12,0,0,0,0,0,0,11
2,12,0,0,0,0,0,0,12
2,12,0,0,0,0,0,0,13
2,12,0,0,0,0,0,0,14
2,12,0,0,0,0,0,0,15
2,12,0,0,0,0,0,0,16
2,12,0,0,0,0,0,0,17
2,12,0,0,0,0,0,0,18
2,12,0,0,0,0,0,0,19
2,12,0,0,0,0,0,0,20
2,13,0,0,0,0,0,0,1
2,13,0,0,0,0,0,0,2
2,13,0,0,0,0,0,0,3
2,13,0,0,0,0,0,0,4
2,13,0,0,0,0,0,0,5
2,13,0,0,0,0,0,0,6
2,13,0,0,0,0,0,0,7
2,13,0,0,0,0,0,0,8
2,13,0,0,0,0,0,0,9
2,13,0,0,0,0,0,0,10
2,13,0,0,0,0,0,0,11
2,13,0,0,0,0,0,0,12
2,13,0,0,0,0,0,0,13
2,13,0,0,0,0,0,0,14
2,13,0,0,0,0,0,0,15
2,13,0,0,0,0,0,0,16
2,13,0,0,0,0,0,0,17
2,13,0,0,0,0,0,0,18
2,13,0,0,0,0,0,0,19
2,13,0,0,0,0,0,0,20
2,14,0,0,0,0,0,0,1
2,14,0,0,0,0,0,0,2
2,14,0,0,0,0,0,0,3
2,14,0,0,0,0,0,0,4
2,14,0,0,0,0,0,0,5
2,14,0,0,0,0,0,0,6
2,14,0,0,0,0,0,0,7
2,14,0,0,0,0,0,0,8
2,14,0,0,0,0,0,0,9
2,14,0,0,0,0,0,0,10
2,14,0,0,0,0,0,0,11
2,14,0,0,0,0,0,0,12
2,14,0,0,0,0,0,0,13
2,14,0,0,0,0,0,0,14
2,14,0,0,0,0,0,0,15
2,14,0,0,0,0,0,0,16
2,14,0,0,0,0,0,0,17
2,14,0,0,0,0,0,0,18
2,14,0,0,0,0,0,0,19
2,14,0,0,0,0,0,0,20
2,15,0,0,0,0,0,0,1
2,15,0,0,0,0,0,0,2
2,15,0,0,0,0,0,0,3
2,15,0,0,0,0,0,0,4
2,15,0,0,0,0,0,0,5
2,15,0,0,0,0,0,0,6
2,15,0,0,0,0,0,0,7
2,15,0,0,0,0,0,0,8
2,15,0,0,0,0,0,0,9
2,15,0,0,0,0,0,0,10
2,15,0,0,0,0,0,0,11
2,15,0,0,0,0,0,0,12
2,15,0,0,0,0,0,0,13
2,15,0,0,0,0,0,0,14
2,15,0,0,0,0,0,0,15
2,15,0,0,0,0,0,0,16
2,15,0,0,0,0,0,0,17
2,15,0,0,0,0,0,0,18
2,15,0,0,0,0,0,0,19
2,15,0,0,0,0,0,0,20
2,16,0,0,0,0,0,0,1
2,16,0,0,0,0,0,0,2
2,16,0,0,0,0,0,0,3
2,16,0,0,0,0,0,0,4
2,16,0,0,0,0,0,0,5
2,16,0,0,0,0,0,0,6
2,16,0,0,0,0,0,0,7
2,16,0,0,0,0,0,0,8
2,16,0,0,0,0,0,0,9
2,16,0,0,0,0,0,0,10
2,16,0,0,0,0,0,0,11
2,16,0,0,0,0,0,0,12
2,16,0,0,0,0,0,0,13
2,16,0,0,0,0,0,0,14
2,16,0,0,0,0,0,0,15
2,16,0,0,0,0,0,0,16
2,16,0,0,0,0,0,0,17
2,16,0,0,0,0,0,0,18
2,16,0,0,0,0,0,0,19
2,16,0,0,0,0,0,0,20
2,17,0,0,0,0,0,0,1
2,17,0,0,0,0,0,0,2
2,17,0,0,0,0,0,0,3
2,17,0,0,0,0,0,0,4
2,17,0,0,0,0,0,0,5
2,17,0,0,0,0,0,0,6
2,17,0,0,0,0,0,0,7
2,17,0,0,0,0,0,0,8
2,17,0,0,0,0,0,0,9
2,17,0,0,0,0,0,0,10
2,17,0,0,0,0,0,0,11
2,17,0,0,0,0,0,0,12
2,17,0,0,0,0,0,0,13
2,17,0,0,0,0,0,0,14
2,17,0,0,0,0,0,0,15
2,17,0,0,0,0,0,0,16
2,17,0,0,0,0,0,0,17
2,17,0,0,0,0,0,0,18
2,17,0,0,0,0,0,0,19
2,17,0,0,0,0,0,0,20
2,18,0,0,0,0,0,0,1
2,18,0,0,0,0,0,0,2
2,18,0,0,0,0,0,0,3
2,18,0,0,0,0,0,0,4
2,18,0,0,0,0,0,0,5
2,18,0,0,0,0,0,0,6
2,18,0,0,0,0,0,0,7
2,18,0,0,0,0,0,0,8
2,18,0,0,0,0,0,0,9
2,18,0,0,0,0,0,0,10
2,18,0,0,0,0,0,0,11
2,18,0,0,0,0,0,0,12
2,18,0,0,0,0,0,0,13
2,18,0,0,0,0,0,0,14
2,18,0,0,0,0,0,0,15
2,18,0,0,0,0,0,0,16
2,18,0,0,0,0,0,0,17
2,18,0,0,0,0,0,0,18
2,18,0,0,0,0,0,0,19
2,18,0,0,0,0,0,0,20
2,19,0,0,0,0,0,0,1
2,19,0,0,0,0,0,0,2
2,19,0,0,0,0,0,0,3
2,19,0,0,0,0,0,0,4
2,19,0,0,0,0,0,0,5
2,19,0,0,0,0,0,0,6
2,19,0,0,0,0,0,0,7
2,19,0,0,0,0,0,0,8
2,19,0,0,0,0,0,0,9
2,19,0,0,0,0,0,0,10
2,19,0,0,0,0,0,0,11
2,19,0,0,0,0,0,0,12
2,19,0,0,0,0,0,0,13
2,19,0,0,0,0,0,0,14
2,19,0,0,0,0,0,0,15
